symbol,name,price,token_id,exchange,sz_decimals,discovered_at
TRB,TRB,22.1615,trb,hyperliquid,2,2025-11-03T16:43:24.968503
TRUMP,TRUMP,7.5192,trump,hyperliquid,1,2025-11-03T16:43:24.969062
TRX,TRX,0.289075,trx,hyperliquid,0,2025-11-03T16:43:24.968166
TST,TST,0.015355,tst,hyperliquid,0,2025-11-03T16:43:24.969108
TURBO,TURBO,0.001875,turbo,hyperliquid,0,2025-11-03T16:43:24.968899
UMA,UMA,0.98086,uma,hyperliquid,1,2025-11-03T16:43:24.968781
UNI,UNI,5.14755,uni,hyperliquid,1,2025-11-03T16:43:24.968174
UNIBOT,UNIBOT,7.636,unibot,hyperliquid,3,2025-11-03T16:43:24.968159
USTC,USTC,0.006796,ustc,hyperliquid,0,2025-11-03T16:43:24.968677
USUAL,USUAL,0.02664,usual,hyperliquid,1,2025-11-03T16:43:24.969022
VINE,VINE,0.037722,vine,hyperliquid,0,2025-11-03T16:43:24.969092
VIRTUAL,VIRTUAL,1.38895,virtual,hyperliquid,1,2025-11-03T16:43:24.969012
VVV,VVV,1.417,vvv,hyperliquid,2,2025-11-03T16:43:24.969097
W,W,0.05605,w,hyperliquid,1,2025-11-03T16:43:24.968805
WCT,WCT,0.118155,wct,hyperliquid,0,2025-11-03T16:43:24.969141
WIF,WIF,0.4547,wif,hyperliquid,0,2025-11-03T16:43:24.968725
WLD,WLD,0.73828,wld,hyperliquid,1,2025-11-03T16:43:24.968143
WLFI,WLFI,0.114985,wlfi,hyperliquid,0,2025-11-03T16:43:24.969200
XAI,XAI,0.02119,xai,hyperliquid,1,2025-11-03T16:43:24.968759
XLM,XLM,0.28268,xlm,hyperliquid,0,2025-11-03T16:43:24.968984
XPL,XPL,0.25687,xpl,hyperliquid,0,2025-11-03T16:43:24.969196
XRP,XRP,2.35055,xrp,hyperliquid,0,2025-11-03T16:43:24.968097
YGG,YGG,0.105175,ygg,hyperliquid,0,2025-11-03T16:43:24.968163
YZY,YZY,0.373215,yzy,hyperliquid,0,2025-11-03T16:43:24.969192
ZEC,ZEC,386.905,zec,hyperliquid,2,2025-11-03T16:43:24.969252
