rank,coin_id,coin_name,symbol,price,price_change_24h,volume_24h,market_cap,category,scraped_at,price_change_1h_pct,price_change_24h_pct,price_change_7d_pct,market_cap_rank,high_24h,low_24h,circulating_supply,total_supply,ath,ath_date,atl,atl_date
,bifrost-native-coin,Bifrost BNC,BNC,0.08956,0.4%,971256.0,3970795.0,Derivatives,2025-11-05T13:15:20.278716,-0.3983439310777392,-8.90952,1.4609243968866772,2393.0,0.098358,0.08936,44278490.07817114,80000000.0,6.14,2021-11-03T14:59:32.094Z,0.077236,2022-11-14T04:24:21.920Z
,energi,Energi NRG,NRG,0.03054276,0.0%,130347.0,3044493.0,Masternodes,2025-11-05T13:15:01.965676,0.004947048859378356,-5.57424,-7.3696914845179915,2647.0,0.03235555,0.03049194,99705288.98681875,99711236.013198,10.19,2019-06-25T19:34:23.298Z,0.02285787,2025-04-09T09:05:28.858Z
,axel,AXEL AXEL,AXEL,0.01940233,0.6%,1875.82,2771447.0,Masternodes,2025-11-05T13:15:02.082085,0.5996729593704078,-2.18715,-9.543633603294053,2752.0,0.01989639,0.01873546,143199700.0,1000000000.0,0.349088,2021-05-08T08:23:54.001Z,0.01349924,2025-09-23T00:50:30.293Z
,analog,Analog ANLOG,ANLOG,0.00123894,0.6%,413481.0,2301643.0,Layer 0 (L0),2025-11-05T13:15:27.568476,0.603105626813501,0.24734,-9.714220029757712,2929.0,0.00124159,0.00121475,1857089401.595,9057971000.0,0.0100305,2025-02-10T11:26:08.041Z,0.00063826,2025-10-12T08:39:40.687Z
,morpheus-network,Morpheus Network MNW,MNW,0.060349,2.5%,13682.24,2266216.0,Masternodes,2025-11-05T13:15:02.387735,0.7434226709557797,-2.81102,-14.794801010280315,2949.0,0.063821,0.054403,37520088.3855,47897218.0,5.46,2021-11-11T07:57:14.750Z,0.00992725,2018-08-11T00:00:00.000Z
,bitcore,BitCore BTX,BTX,0.069369,0.4%,74.24,1375788.0,Masternodes,2025-11-05T13:15:02.621723,0.3845766895832629,0.60223,3.9293462571847932,3491.0,0.075329,0.06798,19832383.91054785,19832623.75429785,38.84,2017-11-16T00:00:00.000Z,0.00307,2017-06-14T00:00:00.000Z
,geeq,GEEQ GEEQ,GEEQ,0.02283726,2.8%,255278.0,1246168.0,Layer 0 (L0),2025-11-05T13:15:27.653070,2.7939585187685747,-3.42497,-19.770291372662495,3604.0,0.02473975,0.02105945,54500000.0,100000000.0,4.88,2020-08-10T02:02:13.370Z,0.01944238,2025-04-09T02:46:49.919Z
,raptoreum,Raptoreum RTM,RTM,0.00019072,1.1%,11752.27,1181613.0,Masternodes,2025-11-05T13:15:02.736911,-1.1498806169655902,-8.01898,-6.74570247203421,3672.0,0.00020735,0.00019169,5935706620.0,21000000000.0,0.081262,2021-11-14T02:36:17.340Z,5.096e-05,2025-07-24T10:08:57.276Z
,cosanta,Cosanta COSA,COSA,2.09,0.3%,38143.0,806005.0,Masternodes,2025-11-05T13:15:02.875494,0.2840543030663656,-3.0881,-1.3261669591900243,4177.0,2.15,2.05,386636.24999999,386636.24999999,11.71,2023-04-27T17:48:01.336Z,0.19178,2024-06-25T18:05:56.777Z
,neoxa,Neoxa NEOX,NEOX,7.489e-05,0.7%,14512.67,673327.0,Masternodes,2025-11-05T13:15:02.999662,-0.7197199040446717,9.65672,-12.243116284148844,4425.0,8.109e-05,6.815e-05,8992421226.311588,8997301226.311588,0.02486785,2022-09-04T21:07:17.529Z,6.359e-05,2025-11-01T01:29:35.275Z
,photon-2,Photon PHOTON,PHOTON,0.287937,0.4%,151831.0,515988.0,Layer 0 (L0),2025-11-05T13:15:27.766248,-0.3729129841613941,3.84768,-18.309535966348072,4777.0,0.289015,0.261324,1791671.0,8967492.0,0.679355,2025-10-01T20:56:31.660Z,0.03011794,2025-10-03T01:22:02.932Z
,moneybyte,Moneybyte MON,MON,0.050307,,6.34,454067.0,Masternodes,2025-11-05T13:15:03.107614,,,303.8242209073048,4956.0,,,9025908.80467191,32200000.0,0.686511,2020-11-26T15:45:11.689Z,0.00059156,2020-03-14T14:49:56.926Z
,index-coop-eth-2x-flexible-leverage-index,Index Coop - ETH 2x Flexible Leverage Index ETH2X-FLI,ETH2X-FLI,7.23,1.1%,3.69,432385.0,Derivatives,2025-11-05T13:15:19.071778,0.918956857248109,-5.80907,-15.515334709616162,5022.0,7.68,6.71,59803.52946190801,59803.52946190801,529.43,2021-12-03T09:08:59.500Z,1.99,2022-06-18T20:57:27.930Z
,terracoin,Terracoin TRC,TRC,0.01138805,0.6%,0.01277301,261528.0,Masternodes,2025-11-05T13:15:03.476196,0.6378418778841598,-1.57521,-8.955851662135732,5729.0,0.0125998,0.01098678,22935396.0,22935396.0,7.34,2024-01-18T14:57:29.839Z,0.00017378,2019-06-15T00:00:00.000Z
,swiftcash,SwiftCash SWIFT,SWIFT,0.00075399,0.1%,1730.6,219037.0,Masternodes,2025-11-05T13:15:03.598025,0.10943395089882298,-0.19351,-6.320085502913561,5983.0,0.00076144,0.00073667,290799096.8840478,5000000000.0,0.03944878,2020-08-03T18:59:52.743Z,1.567e-05,2023-05-01T02:04:45.502Z
,blocknet,Blocknet BLOCK,BLOCK,0.00969036,0.4%,0.234216,116803.0,Masternodes,2025-11-05T13:15:03.730592,0.3822755116969336,-51.52434,-63.2123445106048,6988.0,0.01999291,0.0077461,12065162.86531109,,59.66,2018-01-06T00:00:00.000Z,0.00321532,2024-06-22T20:17:01.683Z
,stakecube,Stakecube SCC,SCC,0.00582243,0.0%,1697.84,95202.0,Masternodes,2025-11-05T13:15:03.836778,0.0015617646826159102,-2.92158,-16.15972704599816,7342.0,0.00599769,0.00511611,16351533.91163954,16354285.91163954,3.64,2020-07-12T15:48:41.950Z,5.001e-15,2025-06-02T11:48:13.012Z
,smartcash,SmartCash SMART,SMART,1.883e-05,,0.055186,55630.0,Masternodes,2025-11-05T13:15:03.974042,,2.55926,-35.87142650154666,8213.0,1.89e-05,1.833e-05,2953892297.0,5000000000.0,2.14,2018-01-13T00:00:00.000Z,3.09e-06,2024-06-21T08:55:08.749Z
,prcy-coin,PRivaCY Coin PRCY,PRCY,0.00312952,0.6%,46982.0,50283.0,Masternodes,2025-11-05T13:15:04.109368,0.6403146750236577,99.56033,145.92261037178997,8386.0,0.00499655,0.00149186,16067209.81271498,62171601.06271499,3.0,2021-06-29T23:45:39.094Z,0.00062085,2025-08-05T21:28:46.882Z
,kira-3,KIRA KIRA,KIRA,4.782e-05,1.0%,22.31,47862.0,Masternodes,2025-11-05T13:15:04.233498,0.9930037164938184,-2.47292,-22.08798704166196,8467.0,5.012e-05,4.461e-05,999594879.382504,999594879.382504,0.02057985,2024-11-19T13:15:46.443Z,4.461e-05,2025-11-04T21:41:09.847Z
,wagerr,Wagerr WGR,WGR,6.154e-05,1.2%,233.33,16035.82,Masternodes,2025-11-05T13:15:04.499366,1.1944348228532344,-97.14603,-97.39417198486808,10474.0,0.00215715,3.873e-05,260557449.270504,,0.934216,2018-01-13T00:00:00.000Z,2.262e-05,2025-10-19T06:35:29.894Z
,dogecash,DogeCash DOGEC,DOGEC,0.00079078,0.0%,0.575261,14896.33,Masternodes,2025-11-05T13:15:04.798021,-0.011276985822420456,-0.2764,-2.9938496897510403,10638.0,0.00106494,0.00067219,18833689.251759,21000000.0,4.19,2019-01-03T07:39:47.374Z,0.00036699,2025-11-01T19:16:37.437Z
,crown,Crown CRW,CRW,0.00031629,,3.54,10780.32,Masternodes,2025-11-05T13:15:04.940025,,-3.29314,-18.761016357589014,11295.0,0.00033341,0.0003061,34083828.73542473,42000000.0,4.6,2018-01-08T00:00:00.000Z,0.00016879,2016-02-02T00:00:00.000Z
,axe,Axe AXE,AXE,0.00088356,,0.89392,6450.49,Masternodes,2025-11-05T13:15:05.040554,,3.16933,-21.89833414589872,12168.0,0.00088365,0.00084192,7300532.0,7300532.0,2.6,2019-07-29T14:30:49.030Z,2.8106e-08,2022-04-13T20:30:43.507Z
,bolivarcoin,Bolivarcoin BOLI,BOLI,6.435e-05,,0.08663,1319.73,Masternodes,2025-11-05T13:15:05.254510,,,0.0,12810.0,,,20507706.87379985,20507706.87379985,0.313124,2021-08-31T10:05:30.928Z,5.815e-05,2025-10-26T19:41:34.566Z
,nebula-project,Nebula Project NBLA,NBLA,1.207e-05,,0.0337239,0.0,Masternodes,2025-11-05T13:15:05.461976,,-2.24904,-74.41628002987048,,1.245e-05,1.181e-05,0.0,200000000.0,0.00667794,2024-12-09T01:34:48.844Z,7.72e-06,2025-03-17T12:54:49.835Z
